ID,n_reps,n_pairs,mean_dist,median_dist,std_dist,max_dist,worst_pair,cv_dist
P22,3,3,5.377084681541853,6.530659631514598,3.395487580213815,8.045491273708137,1-3,0.6314737039328484
P15,3,3,3.2207105629213673,3.7614094558562723,1.9120829608922516,4.80422054470588,2-3,0.5936835749555477
N5,3,3,2.945946318024939,2.944829428358597,1.4582251372529011,4.40472957931624,1-3,0.4949937914111565
N16,3,3,2.858192946055631,4.189097358381533,2.3839405567481107,4.279530777737187,2-3,0.8340726472080904
P8,3,3,2.6723101273215133,3.2216727371427476,1.6722839622370662,4.0008082236486695,1-2,0.6257821444972839
P7,3,3,2.61225062270298,2.762723458098415,1.3843211450769286,3.9151881697365445,2-3,0.5299342769969472
P9,3,3,2.5190546772815607,3.33048100228873,1.790810781676954,3.760519023452874,2-3,0.7109058798237394
N7,3,3,2.4704991241148546,3.5187134042855934,1.9604619470899973,3.684018573122351,1-2,0.7935489342836353
N1,3,3,2.104793657023007,2.7102349550547715,1.4498356186565424,3.1537770980739586,1-3,0.688825535851895
P31,3,3,1.9004128507891795,1.824739056123642,0.9114807472053471,2.8473714452157455,1-2,0.4796224919373908
N9,3,3,1.8543671762494542,2.3608622684564367,1.255501335420093,2.7775041949968102,1-3,0.6770510994264923
N11,3,3,1.7354484136334536,2.026887221562787,1.039132598551316,2.5977439516694285,2-3,0.5987689350994403
N4,3,3,1.6609875085641803,2.2306462722955547,1.2167923714242885,2.4884532066275447,2-3,0.7325716570115144
N18,3,3,1.6258334057601738,1.8897007965783852,0.97129853001358,2.437934314829968,1-3,0.5974157786230504
N2,3,3,1.5274940380937132,1.1752068687788086,0.6605970039064717,2.2895631421836917,1-3,0.4324710849483155
P6,3,3,1.4904506404953375,1.9571774559429786,1.0579892631964811,2.2348222893413476,1-3,0.7098452202649718
N25,3,3,1.4052889265777224,1.4816891411860178,0.7316500032158837,2.095740987740572,2-3,0.5206402679039528
P13,3,3,1.3877066821727742,1.2357851869015042,0.6309898662176812,2.0807882491989993,2-3,0.4546997390181341
N28,3,3,1.3021300017080673,1.4252363548955076,0.7191523604330707,1.9517826580981072,1-3,0.5522892180425331
P30,3,3,1.2567752927548808,1.3807268997951767,0.69714225124312,1.8836277100579084,1-3,0.5547071582820251
P10,3,3,1.2522313154427112,0.975834566714383,0.5422204062894332,1.8769547117389287,1-3,0.43300339130852816
P11,3,3,1.147004189002181,1.3063659493518376,0.6651908684866592,1.7180396552654376,1-2,0.5799376103982079
P12,3,3,1.1622352400116776,1.6764240440391838,0.921712531666979,1.712148518501353,1-2,0.7930516129055922
N26,3,3,1.1608040929419503,1.2515566285516626,0.580201412633342,1.6902814257886265,1-2,0.4998271596052658
N21,3,3,1.0870324408437073,1.1829088235398044,0.59582806305823,1.629108546066984,1-2,0.5481235340095041
P23,3,3,1.0578534837061808,1.0552509904913643,0.5201548882670457,1.579304735658108,1-2,0.4917078747471601
N10,3,3,1.032789955411197,1.0478712278712305,0.5109171048583717,1.535999458146017,1-2,0.49469604364515163
N17,3,3,1.0190022888617887,0.9278467538260169,0.4699081102812115,1.5278096252030775,1-2,0.4611452941936885
N27,3,3,0.9788604566489921,1.1244300085472398,0.567826309351663,1.4597306696253163,1-2,0.580089128633867
P2,3,3,0.970392310379733,0.820326475211471,0.43007344550884086,1.4553927295640334,1-3,0.4431954384928555
P1,3,3,0.9316654145567375,0.9353582647616958,0.46683426893585717,1.3966423037776745,1-3,0.5010750229018268
N23,3,3,0.9431859988804169,1.2464392743912847,0.6413392093086351,1.3766611211339346,1-2,0.6799710874312376
P25,3,3,0.9965323520783826,1.1481298008428413,0.3090079603800507,1.200464891097868,1-3,0.3100832198127628
N8,3,3,0.7900159289151886,0.8026587739448725,0.3773665090539348,1.1609021428656228,1-2,0.4776694940469316
N30,3,3,0.7706102979261708,0.7277555357839793,0.3584553051018747,1.148566510618189,1-3,0.4651576887390842
P16,3,3,0.6565191742626856,0.7051931548727451,0.35165048380064134,0.9812970582696847,1-2,0.5356286572978894
P21,3,3,0.6714476488409754,0.6838188715657159,0.31578924479424797,0.980869486319634,2-3,0.47031104411393804
N29,3,3,0.6058214367860056,0.8749678860747505,0.47929964606307707,0.8900540052518011,1-2,0.7911566295934492
N22,3,3,0.5207943054932952,0.5695049434510708,0.28782966858755693,0.7811605582850281,1-3,0.552674377487529
P20,3,3,0.5014759538220636,0.6186498425025823,0.3226494911311416,0.7491656882965627,1-3,0.6433997256937785
N20,3,3,0.4881321608792251,0.6798406232869664,0.3605807871506849,0.7123629232991611,1-2,0.7386950011677282
P3,3,3,0.48254673537607795,0.6112577275779958,0.3078112942889837,0.7051109201209224,1-3,0.6378890824928857
N15,3,3,0.4636459986145298,0.5918948791149966,0.3154753551417109,0.6947991704339747,1-3,0.6804229004119878
P27,3,3,0.46199496924909705,0.42005825662811486,0.21194624680596738,0.691774713266401,1-3,0.45876310547375426
P5,3,3,0.4652052163376495,0.5324521750034642,0.2648173759028898,0.6899160697844583,2-3,0.5692485092658189
N6,3,3,0.45559462207201107,0.48220445848711274,0.1994536570724943,0.6404075949648435,1-3,0.4377875580826517
P28,3,3,0.4238405866256367,0.41458354859545504,0.17272018959650984,0.6010031438170685,2-3,0.4075121520843577
N12,3,3,0.39377930754421103,0.42265712953073786,0.21217522767003685,0.5900365777807407,1-3,0.5388176158703188
N24,3,3,0.4028216539370881,0.48206720428450994,0.20452790188798456,0.5558689846783885,1-2,0.5077381016858824
P4,3,3,0.34994970599619557,0.4248122052467122,0.21463765468029258,0.5171303510914821,2-3,0.613338576951472
P14,3,3,0.3035980707790692,0.2762011280228725,0.12751880988132594,0.44258861101733127,2-3,0.4200250994813548
N13,3,3,0.28701207170413046,0.2951978852212051,0.14266958293899046,0.42541251299659244,1-3,0.497085652501972
P26,3,3,0.2985028428073864,0.3907638898309514,0.1716351019726025,0.4042753562327644,2-3,0.5749864904414084
P17,3,3,0.2688208312722558,0.24435403324970204,0.11234286094123833,0.3913807921367649,1-3,0.41790980412325246
P18,3,3,0.25391732642972636,0.2941373867076581,0.14304859873536097,0.3725504462606959,1-3,0.5633668278834482
N14,3,3,0.23408794930404966,0.2269912727140425,0.11101698450798474,0.34848302293789285,2-3,0.4742533088014205
P19,3,3,0.21884465333749228,0.2756250277908813,0.13552685741950113,0.316745878683884,1-2,0.619283383681747
P29,3,3,0.21358482697533343,0.2712442282390539,0.1286658372291391,0.30333608077675167,1-2,0.6024109439384405
N3,3,3,0.16189145685779038,0.19853488730862276,0.09732538905961909,0.2355761305909812,1-3,0.6011768066619613
N19,3,3,0.17261701408515148,0.17998030553935526,0.05473488988078995,0.22329753005607753,1-2,0.3170886147630232
P24,3,3,0.0848386127901652,0.09845714240499989,0.024708546293418242,0.0997414183188857,2-3,0.2912417527916315
