fold,model,recall_pos,f1_pos,pr_auc,bal_acc,roc_auc,brier
1,logreg,1.0,1.0,1.0,1.0,1.0,0.006428749215945505
1,svm_rbf,1.0,0.7692307692307693,0.6226190476190476,0.7,0.64,0.2146099850226193
1,rf,0.6,0.6666666666666666,0.7416666666666667,0.7,0.7200000000000001,0.21406437500000003
1,xgb,0.6,0.6,0.7592857142857143,0.6,0.68,0.32794334081656756
2,logreg,0.4,0.5,0.7453968253968253,0.6000000000000001,0.64,0.32698831147942625
2,svm_rbf,0.6,0.6666666666666666,0.8,0.7,0.6399999999999999,0.23626265559346696
2,rf,0.6,0.6666666666666666,0.7611111111111111,0.7,0.64,0.26478250000000003
2,xgb,0.4,0.5,0.8083333333333333,0.6000000000000001,0.76,0.289896247150749
3,logreg,0.75,0.6666666666666666,0.6041666666666666,0.675,0.65,0.2814184419911669
3,svm_rbf,1.0,0.8888888888888888,1.0,0.9,1.0,0.07588453426299259
3,rf,1.0,0.8,0.95,0.8,0.9500000000000001,0.1321125
3,xgb,1.0,0.8,0.95,0.8,0.9500000000000001,0.14362385542070297
4,logreg,0.75,0.8571428571428571,0.8611111111111112,0.875,0.75,0.12824433987177136
4,svm_rbf,0.75,0.6666666666666666,0.9166666666666666,0.675,0.9,0.21539718730439436
4,rf,0.75,0.6666666666666666,0.8928571428571428,0.675,0.85,0.20741597222222224
4,xgb,0.75,0.6666666666666666,0.7611111111111111,0.675,0.6499999999999999,0.310095566384286
5,logreg,0.8,0.8,0.8528571428571428,0.8,0.8400000000000001,0.1697465117779073
5,svm_rbf,0.8,0.8,0.925,0.8,0.88,0.13040864218073872
5,rf,0.8,0.8888888888888888,0.911111111111111,0.9,0.8400000000000001,0.163195625
5,xgb,0.6,0.75,0.885,0.8,0.8400000000000001,0.18270835050437542
