fold,model,recall_pos,f1_pos,acc,brier,bal_acc,pr_auc,roc_auc
1,logreg,0.5555555555555556,0.5263157894736842,0.625,0.26799242767056125,0.6111111111111112,0.5452567494234161,0.6814814814814815
1,svm_rbf,0.6666666666666666,0.6,0.6666666666666666,0.23009467983554235,0.6666666666666666,0.7397730437204122,0.7407407407407407
1,rf,0.4444444444444444,0.47058823529411764,0.625,0.29185228104501754,0.5888888888888888,0.6406535158346753,0.6222222222222222
1,xgb,0.5555555555555556,0.5555555555555556,0.6666666666666666,0.28040612247332786,0.6444444444444444,0.6888205728785439,0.6370370370370371
2,logreg,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.05389581989261758,0.9166666666666666,0.988095238095238,0.9861111111111112
2,svm_rbf,0.5,0.5714285714285714,0.625,0.20869939423108694,0.625,0.7918965293965294,0.7083333333333333
2,rf,0.75,0.72,0.7083333333333334,0.17891552564077126,0.7083333333333333,0.8152220736779561,0.7916666666666667
2,xgb,0.8333333333333334,0.8,0.7916666666666666,0.1859804805591908,0.7916666666666667,0.8120624258782153,0.8125
3,logreg,0.6666666666666666,0.8,0.875,0.06903068888834965,0.8333333333333333,1.0,1.0
3,svm_rbf,0.6666666666666666,0.7058823529411765,0.7916666666666666,0.21050984133101547,0.7666666666666666,0.668099647266314,0.7259259259259259
3,rf,0.5555555555555556,0.625,0.75,0.18031202178309869,0.7111111111111111,0.7873319662793348,0.7703703703703704
3,xgb,0.6666666666666666,0.8,0.875,0.11362229646717796,0.8333333333333333,0.8688080495356036,0.8518518518518519
4,logreg,1.0,1.0,1.0,0.018533044231988073,1.0,1.0,1.0
4,svm_rbf,0.5,0.5714285714285714,0.625,0.26611195856937736,0.625,0.8305600649350648,0.7986111111111112
4,rf,0.5,0.5454545454545454,0.5833333333333334,0.30435998995182295,0.5833333333333333,0.8018709969367864,0.7430555555555556
4,xgb,0.5833333333333334,0.6363636363636364,0.6666666666666666,0.2388296527309424,0.6666666666666667,0.7737663469571364,0.7777777777777778
5,logreg,0.8333333333333334,0.7692307692307693,0.75,0.16213644764183158,0.75,0.9430555555555555,0.9305555555555556
5,svm_rbf,1.0,0.8888888888888888,0.875,0.12349736852638626,0.875,0.9197691197691198,0.9166666666666667
5,rf,0.75,0.75,0.75,0.2014788329738122,0.75,0.8490994629152524,0.8194444444444444
5,xgb,0.8333333333333334,0.7692307692307693,0.75,0.14620747907654918,0.75,0.8954788267288268,0.888888888888889
