fold,setting,recall_pos,f1_pos,acc,brier,bal_acc,pr_auc,roc_auc
1,baseline,0.6,0.5806451612903226,0.5666666666666667,0.21905749964892016,0.5666666666666667,0.6525012305039899,0.6666666666666666
1,augmented,0.9333333333333333,0.7777777777777778,0.7333333333333333,0.20622079131518645,0.7333333333333334,0.6761881201587083,0.72
2,baseline,0.6,0.6923076923076923,0.7333333333333333,0.22238376545069496,0.7333333333333334,0.812642461837864,0.6977777777777778
2,augmented,0.6,0.75,0.8,0.18154672163831428,0.8,0.8746269722281715,0.7822222222222222
3,baseline,1.0,0.96,0.9629629629629629,0.11569484258535702,0.9666666666666667,0.9935897435897437,0.9944444444444445
3,augmented,1.0,0.8,0.7777777777777778,0.14485117312554724,0.8,0.9654761904761906,0.9666666666666668
4,baseline,0.75,0.75,0.7777777777777778,0.16316847276198734,0.775,0.8572767782326607,0.8777777777777778
4,augmented,0.75,0.75,0.7777777777777778,0.20260995587512814,0.775,0.8561838624338626,0.85
5,baseline,0.7333333333333333,0.6875,0.6666666666666666,0.19495997909309554,0.6666666666666666,0.818944684944685,0.7822222222222222
5,augmented,0.7333333333333333,0.6666666666666666,0.6333333333333333,0.23660411817789997,0.6333333333333333,0.8363490934017249,0.7822222222222222
