outer_fold,model,noise_std,noise_med,shift,mixup,p_apply,score,qc_auc,mmd2,knn_overlap,skipped
1,logreg,0.0,0.0,0.0,0.0,0.5,0.9196325269212963,,,,False
1,logreg,0.0,0.0,0.0,0.2,0.5,0.9235815130400357,,,,False
1,logreg,0.0,0.0,0.0,0.4,0.5,0.9196325269212963,,,,False
1,logreg,0.0,0.0,0.0,0.6,0.5,0.9196325269212963,,,,False
1,logreg,0.0,0.0,1.0,0.0,0.5,,0.8843869071174175,1.836992045012309e-05,1.0,True
1,logreg,0.0,0.0,1.0,0.2,0.5,,0.710675561083159,0.0011235676983409881,0.9661654135338346,True
1,logreg,0.0,0.0,1.0,0.4,0.5,,0.6994018881790944,0.0016619078084487704,0.9481203007518797,True
1,logreg,0.0,0.0,1.0,0.6,0.5,,0.6918661314941488,0.002005902702596707,0.9353383458646617,True
1,logreg,0.0,0.0,2.0,0.0,0.5,,0.9411340381027757,0.00022128583447411643,0.9533834586466166,True
1,logreg,0.0,0.0,2.0,0.2,0.5,,0.7346271694273278,0.0023149277019200998,0.9368421052631579,True
1,logreg,0.0,0.0,2.0,0.4,0.5,,0.729652326304483,0.0009149463951860781,0.9240601503759398,True
1,logreg,0.0,0.0,2.0,0.6,0.5,,0.7313019390581718,0.00240672201929093,0.9060150375939849,True
1,logreg,0.0,0.0,4.0,0.0,0.5,,0.9665713155068122,0.002254273866685974,0.7127819548872181,True
1,logreg,0.0,0.0,4.0,0.2,0.5,,0.7568568036632936,0.00206765833450695,0.8308270676691729,True
1,logreg,0.0,0.0,4.0,0.4,0.5,,0.7504833512352309,0.0012518036369699725,0.8045112781954887,True
1,logreg,0.0,0.0,4.0,0.6,0.5,,0.7502323477867601,0.0018043076266223146,0.7789473684210526,True
1,logreg,0.0,0.005,0.0,0.0,0.5,,0.7427847815026287,6.816382347452077e-08,1.0,True
1,logreg,0.0,0.005,0.0,0.2,0.5,0.9342892592308157,,,,False
1,logreg,0.0,0.005,0.0,0.4,0.5,0.9291023947853715,,,,False
1,logreg,0.0,0.005,0.0,0.6,0.5,0.9310900550872679,,,,False
1,logreg,0.0,0.005,1.0,0.0,0.5,,0.7111459098875008,0.003495315829120438,1.0,True
1,logreg,0.0,0.005,1.0,0.2,0.5,,0.6495268245802476,0.0035430805973808432,0.9829573934837093,True
1,logreg,0.0,0.005,1.0,0.4,0.5,,0.647948065652854,0.003525608357764387,0.9619047619047619,True
1,logreg,0.0,0.005,1.0,0.6,0.5,,0.6366276593739988,0.003575362360540124,0.9568922305764411,True
1,logreg,0.0,0.005,2.0,0.0,0.5,,0.7427972186104359,0.0034509280214634064,0.9699248120300752,True
1,logreg,0.0,0.005,2.0,0.2,0.5,,0.6622921966570561,0.003439439938743627,0.9609022556390977,True
1,logreg,0.0,0.005,2.0,0.4,0.5,,0.6603810277573634,0.0034635953271375808,0.9458646616541353,True
1,logreg,0.0,0.005,2.0,0.6,0.5,,0.6652428062637797,0.00359721784408773,0.9508771929824561,True
1,logreg,0.0,0.005,4.0,0.0,0.5,,0.7609022556390979,0.003719748490628394,0.8578947368421053,True
1,logreg,0.0,0.005,4.0,0.2,0.5,,0.6758678651516008,0.0037108037157760343,0.8842105263157894,True
1,logreg,0.0,0.005,4.0,0.4,0.5,,0.6764245199464828,0.0037828899603402633,0.8636591478696742,True
1,logreg,0.0,0.005,4.0,0.6,0.5,,0.6734724028115401,0.003631493648942996,0.8446115288220551,True
1,logreg,0.0,0.015,0.0,0.0,0.5,,0.8456260953134715,6.311378404344481e-07,1.0,True
1,logreg,0.0,0.015,0.0,0.2,0.5,,0.6706699078523377,0.0012521377559104874,0.9669172932330827,True
1,logreg,0.0,0.015,0.0,0.4,0.5,,0.6764475097518232,0.0014933067736022654,0.9526315789473684,True
1,logreg,0.0,0.015,0.0,0.6,0.5,,0.6564791678444231,0.001551656686844316,0.9308270676691729,True
1,logreg,0.0,0.015,1.0,0.0,0.5,,0.802122222850359,0.003508624760373724,1.0,True
1,logreg,0.0,0.015,1.0,0.2,0.5,,0.7062837544990295,0.003505887706121369,0.9839598997493735,True
1,logreg,0.0,0.015,1.0,0.4,0.5,,0.6866459381536548,0.003473426788198619,0.9624060150375939,True
1,logreg,0.0,0.015,1.0,0.6,0.5,,0.7051350179961181,0.0034664973305782443,0.9493734335839599,True
1,logreg,0.0,0.015,2.0,0.0,0.5,,0.8326768047939397,0.0034385922900530552,0.9766917293233083,True
1,logreg,0.0,0.015,2.0,0.2,0.5,,0.7150489004466052,0.003495961138695991,0.9573934837092731,True
1,logreg,0.0,0.015,2.0,0.4,0.5,,0.7148367158497748,0.003507743547504605,0.9483709273182958,True
1,logreg,0.0,0.015,2.0,0.6,0.5,,0.7038860308666404,0.0034826394249001247,0.9388471177944863,True
1,logreg,0.0,0.015,4.0,0.0,0.5,,0.8546825710893775,0.003721544920143982,0.850375939849624,True
1,logreg,0.0,0.015,4.0,0.2,0.5,,0.7328788135752917,0.003600919220846599,0.8781954887218045,True
1,logreg,0.0,0.015,4.0,0.4,0.5,,0.7441822601616824,0.003520437899237727,0.8681704260651629,True
1,logreg,0.0,0.015,4.0,0.6,0.5,,0.738618727269301,0.0035166688381778055,0.8631578947368421,True
1,logreg,0.0,0.03,0.0,0.0,0.5,,0.9175555429928204,2.8864120777960522e-06,1.0,True
1,logreg,0.0,0.03,0.0,0.2,0.5,,0.7153886596189722,0.001272370387676025,0.9609022556390977,True
1,logreg,0.0,0.03,0.0,0.4,0.5,,0.706946124710272,0.0013274699080707553,0.9601503759398496,True
1,logreg,0.0,0.03,0.0,0.6,0.5,,0.7186816665724461,0.00212767166856076,0.9345864661654135,True
1,logreg,0.0,0.03,1.0,0.0,0.5,,0.8485849963254,0.003444475294786864,1.0,True
1,logreg,0.0,0.03,1.0,0.2,0.5,,0.7335839598997494,0.003533883355842926,0.9714285714285714,True
1,logreg,0.0,0.03,1.0,0.4,0.5,,0.730448678086193,0.0034921618677512534,0.962907268170426,True
1,logreg,0.0,0.03,1.0,0.6,0.5,,0.7363302994327925,0.0035624139210974626,0.9538847117794487,True
1,logreg,0.0,0.03,2.0,0.0,0.5,,0.8903940301882527,0.003568189457942905,0.9721804511278196,True
1,logreg,0.0,0.03,2.0,0.2,0.5,,0.7562941187555354,0.0035052750201858274,0.9619047619047619,True
1,logreg,0.0,0.03,2.0,0.4,0.5,,0.7600113064616428,0.0034567460410979134,0.9483709273182958,True
1,logreg,0.0,0.03,2.0,0.6,0.5,,0.7597912073416624,0.0036278302354006975,0.924812030075188,True
1,logreg,0.0,0.03,4.0,0.0,0.5,,0.9164045451975804,0.0037603162973289805,0.8676691729323308,True
1,logreg,0.0,0.03,4.0,0.2,0.5,,0.7685122580888311,0.0036477899686182536,0.8726817042606516,True
1,logreg,0.0,0.03,4.0,0.4,0.5,,0.7746539280532158,0.0037360669813033542,0.8646616541353384,True
1,logreg,0.0,0.03,4.0,0.6,0.5,,0.7722049484613789,0.003720025674808891,0.8571428571428571,True
1,logreg,0.005,0.0,0.0,0.0,0.5,,0.864372208717282,8.356523786279269e-07,1.0,True
1,logreg,0.005,0.0,0.0,0.2,0.5,,0.6879371360732659,0.0014040285771563799,0.9616541353383459,True
1,logreg,0.005,0.0,0.0,0.4,0.5,,0.6949561874611341,0.0015077385499226992,0.9383458646616541,True
1,logreg,0.005,0.0,0.0,0.6,0.5,,0.6939985301599865,0.0017151769056313881,0.9330827067669173,True
1,logreg,0.005,0.0,1.0,0.0,0.5,,0.8075086211770026,0.0034867759163621503,1.0,True
1,logreg,0.005,0.0,1.0,0.2,0.5,,0.706970433602804,0.003487447083122319,0.9774436090225563,True
1,logreg,0.005,0.0,1.0,0.4,0.5,,0.7122558275387718,0.0035446856222050016,0.9714285714285714,True
1,logreg,0.005,0.0,1.0,0.6,0.5,,0.6975114477924135,0.003532552438957559,0.9538847117794487,True
1,logreg,0.005,0.0,2.0,0.0,0.5,,0.8554593250042399,0.0034900378755580164,0.9736842105263158,True
1,logreg,0.005,0.0,2.0,0.2,0.5,,0.7173252680573614,0.0033997343789204937,0.9588972431077695,True
1,logreg,0.005,0.0,2.0,0.4,0.5,,0.7259396611830327,0.003443824803094575,0.9368421052631579,True
1,logreg,0.005,0.0,2.0,0.6,0.5,,0.7190155840729644,0.0033624725643777165,0.9353383458646617,True
1,logreg,0.005,0.0,4.0,0.0,0.5,,0.8674826163152242,0.003729441828321356,0.8451127819548873,True
1,logreg,0.005,0.0,4.0,0.2,0.5,,0.7458631541259163,0.0035477803374259764,0.8902255639097745,True
1,logreg,0.005,0.0,4.0,0.4,0.5,,0.7321823355380934,0.0038833689879724798,0.8706766917293233,True
1,logreg,0.005,0.0,4.0,0.6,0.5,,0.7366446190664631,0.0036832280448306776,0.869172932330827,True
1,logreg,0.01,0.0,0.0,0.0,0.5,,0.9254474532195149,3.7602846196804762e-06,1.0,True
1,logreg,0.01,0.0,0.0,0.2,0.5,,0.7343218949629714,0.002172411273118291,0.9639097744360903,True
1,logreg,0.01,0.0,0.0,0.4,0.5,,0.7171858216970999,0.0011395974017425203,0.9466165413533835,True
1,logreg,0.01,0.0,0.0,0.6,0.5,,0.7241042455763469,0.0021644599980736867,0.9210526315789473,True
1,logreg,0.01,0.0,1.0,0.0,0.5,,0.8606591667137768,0.00347676921266471,1.0,True
1,logreg,0.01,0.0,1.0,0.2,0.5,,0.7404149471422918,0.0035451915780240206,0.9784461152882206,True
1,logreg,0.01,0.0,1.0,0.4,0.5,,0.7426604104245577,0.0035305140163051085,0.962907268170426,True
1,logreg,0.01,0.0,1.0,0.6,0.5,,0.742603124352234,0.00350432144420898,0.9558897243107769,True
1,logreg,0.01,0.0,2.0,0.0,0.5,,0.8891955452541127,0.0036194030470320104,0.9759398496240601,True
1,logreg,0.01,0.0,2.0,0.2,0.5,,0.7491246914278177,0.003531507782332133,0.9573934837092731,True
1,logreg,0.01,0.0,2.0,0.4,0.5,,0.765652477057305,0.0033319913295475345,0.9458646616541353,True
1,logreg,0.01,0.0,2.0,0.6,0.5,,0.7671961859536058,0.0034466131062895755,0.9333333333333333,True
1,logreg,0.01,0.0,4.0,0.0,0.5,,0.9163774096896375,0.00353737977090951,0.8481203007518797,True
1,logreg,0.01,0.0,4.0,0.2,0.5,,0.7826705862400363,0.003620567591165358,0.8761904761904762,True
1,logreg,0.01,0.0,4.0,0.4,0.5,,0.7736627282491944,0.0037499224678647636,0.8756892230576441,True
1,logreg,0.01,0.0,4.0,0.6,0.5,,0.7800957280419092,0.0035878371117747943,0.8646616541353384,True
1,logreg,0.02,0.0,0.0,0.0,0.5,,0.9951947538017977,2.2955716968420248e-05,1.0,True
1,logreg,0.02,0.0,0.0,0.2,0.5,,0.7581819209678331,0.0009757672629224778,0.969172932330827,True
1,logreg,0.02,0.0,0.0,0.4,0.5,,0.7605534512974164,0.0010936488418977763,0.9518796992481203,True
1,logreg,0.02,0.0,0.0,0.6,0.5,,0.753297529538131,0.0016091391912422814,0.9233082706766917,True
1,logreg,0.02,0.0,1.0,0.0,0.5,,0.9095019503646333,0.003577081917918834,1.0,True
1,logreg,0.02,0.0,1.0,0.2,0.5,,0.7871566133378558,0.0035447033734317124,0.9704260651629073,True
1,logreg,0.02,0.0,1.0,0.4,0.5,,0.7768458740837055,0.0035315671693936235,0.962907268170426,True
1,logreg,0.02,0.0,1.0,0.6,0.5,,0.7700582282774606,0.003578053954879312,0.9523809523809523,True
1,logreg,0.02,0.0,2.0,0.0,0.5,,0.9431872915371133,0.003451896338280358,0.9759398496240601,True
1,logreg,0.02,0.0,2.0,0.2,0.5,,0.7991030207096689,0.003559540996851185,0.9689223057644111,True
1,logreg,0.02,0.0,2.0,0.4,0.5,,0.8023615429551323,0.0036511992625396505,0.9478696741854636,True
1,logreg,0.02,0.0,2.0,0.6,0.5,,0.796955546761641,0.0035635700008564974,0.9388471177944863,True
1,logreg,0.02,0.0,4.0,0.0,0.5,,0.9662095087342415,0.003655274573353573,0.8578947368421053,True
1,logreg,0.02,0.0,4.0,0.2,0.5,,0.8089313509337254,0.0036464756293157485,0.8807017543859649,True
1,logreg,0.02,0.0,4.0,0.4,0.5,,0.817740592081708,0.0036886077094178127,0.8726817042606516,True
1,logreg,0.02,0.0,4.0,0.6,0.5,,0.8092094898901389,0.003854001043783528,0.8526315789473684,True
1,svm_rbf,0.0,0.0,0.0,0.0,0.5,0.8331933703826229,,,,False
1,svm_rbf,0.0,0.0,0.0,0.2,0.5,0.8500608895607087,,,,False
1,svm_rbf,0.0,0.0,0.0,0.4,0.5,0.8441545729719767,,,,False
1,svm_rbf,0.0,0.0,0.0,0.6,0.5,0.8367178453854988,,,,False
1,svm_rbf,0.0,0.0,1.0,0.0,0.5,,0.8878647747187518,3.6473965683958554e-05,1.0,True
1,svm_rbf,0.0,0.0,1.0,0.2,0.5,,0.7060981400870596,0.0010585432236720482,0.9669172932330827,True
1,svm_rbf,0.0,0.0,1.0,0.4,0.5,,0.6970840635423144,0.0012659266071932684,0.9466165413533835,True
1,svm_rbf,0.0,0.0,1.0,0.6,0.5,,0.7033512352309346,0.0014313349440606693,0.9466165413533835,True
1,svm_rbf,0.0,0.0,2.0,0.0,0.5,,0.9423280004522585,0.00021713487841479306,0.956390977443609,True
1,svm_rbf,0.0,0.0,2.0,0.2,0.5,,0.7362389055345129,0.0010516189777638463,0.9270676691729324,True
1,svm_rbf,0.0,0.0,2.0,0.4,0.5,,0.7376262083780881,0.00090061184176915,0.9263157894736842,True
1,svm_rbf,0.0,0.0,2.0,0.6,0.5,,0.7344553112103568,0.0017803542598699984,0.91203007518797,True
1,svm_rbf,0.0,0.0,4.0,0.0,0.5,,0.9712861100118716,0.002795447426550579,0.7052631578947368,True
1,svm_rbf,0.0,0.0,4.0,0.2,0.5,,0.757750014133077,0.001993416844080498,0.824812030075188,True
1,svm_rbf,0.0,0.0,4.0,0.4,0.5,,0.755299903895076,0.0018535783363218261,0.7834586466165413,True
1,svm_rbf,0.0,0.0,4.0,0.6,0.5,,0.7439154276669115,0.0024687187461884808,0.7796992481203008,True
1,svm_rbf,0.0,0.005,0.0,0.0,0.5,,0.7237514839730905,6.816533115738821e-08,1.0,True
1,svm_rbf,0.0,0.005,0.0,0.2,0.5,0.857095844891648,,,,False
1,svm_rbf,0.0,0.005,0.0,0.4,0.5,0.8549981000821304,,,,False
1,svm_rbf,0.0,0.005,0.0,0.6,0.5,0.8373495381494208,,,,False
1,svm_rbf,0.0,0.005,1.0,0.0,0.5,,0.712841879133925,0.0035396670822076537,1.0,True
1,svm_rbf,0.0,0.005,1.0,0.2,0.5,,0.6461574990106846,0.003519240107233035,0.9804511278195489,True
1,svm_rbf,0.0,0.005,1.0,0.4,0.5,,0.6501117455292366,0.0035515646696762104,0.9659147869674185,True
1,svm_rbf,0.0,0.005,1.0,0.6,0.5,,0.6452371530329584,0.0034599056834614395,0.9508771929824561,True
1,svm_rbf,0.0,0.005,2.0,0.0,0.5,,0.7376787834247273,0.0035016468720303617,0.9766917293233083,True
1,svm_rbf,0.0,0.005,2.0,0.2,0.5,,0.666573199917086,0.0034291139801621018,0.9614035087719298,True
1,svm_rbf,0.0,0.005,2.0,0.4,0.5,,0.6615900653890365,0.0036498969295712946,0.9438596491228071,True
1,svm_rbf,0.0,0.005,2.0,0.6,0.5,,0.6627870427949574,0.0034444852206616527,0.9253132832080201,True
1,svm_rbf,0.0,0.005,4.0,0.0,0.5,,0.7592322912544519,0.003568569778287456,0.8646616541353384,True
1,svm_rbf,0.0,0.005,4.0,0.2,0.5,,0.6789371926055741,0.0035923851022103825,0.8796992481203008,True
1,svm_rbf,0.0,0.005,4.0,0.4,0.5,,0.6746712646277347,0.003530895475900575,0.8731829573934837,True
1,svm_rbf,0.0,0.005,4.0,0.6,0.5,,0.673470895283321,0.0035657716812584894,0.8526315789473684,True
1,svm_rbf,0.0,0.015,0.0,0.0,0.5,,0.8614619254904179,6.691825866766976e-07,1.0,True
1,svm_rbf,0.0,0.015,0.0,0.2,0.5,,0.6807145683758268,0.000706173583043368,0.9706766917293234,True
1,svm_rbf,0.0,0.015,0.0,0.4,0.5,,0.6693289615014981,0.001256857642767173,0.9481203007518797,True
1,svm_rbf,0.0,0.015,0.0,0.6,0.5,,0.6777630165639663,0.0016227724358699458,0.9203007518796993,True
1,svm_rbf,0.0,0.015,1.0,0.0,0.5,,0.7847125332127312,0.0034848738701598325,1.0,True
1,svm_rbf,0.0,0.015,1.0,0.2,0.5,,0.6942431266135263,0.003491796023456173,0.9764411027568922,True
1,svm_rbf,0.0,0.015,1.0,0.4,0.5,,0.7025752350801817,0.003418363415018,0.956390977443609,True
1,svm_rbf,0.0,0.015,1.0,0.6,0.5,,0.6999091714248027,0.003509787650734175,0.9619047619047619,True
1,svm_rbf,0.0,0.015,2.0,0.0,0.5,,0.8257357679914071,0.0034130054169123625,0.9661654135338346,True
1,svm_rbf,0.0,0.015,2.0,0.2,0.5,,0.7142382271468144,0.0035511752097627802,0.9639097744360903,True
1,svm_rbf,0.0,0.015,2.0,0.4,0.5,,0.7183613168258993,0.0034541043087918943,0.9488721804511279,True
1,svm_rbf,0.0,0.015,2.0,0.6,0.5,,0.7175472515876157,0.0034102991181343967,0.937844611528822,True
1,svm_rbf,0.0,0.015,4.0,0.0,0.5,,0.8636700774492622,0.0036085191484604984,0.8556390977443609,True
1,svm_rbf,0.0,0.015,4.0,0.2,0.5,,0.7438272372660976,0.0036092497532862478,0.8706766917293233,True
1,svm_rbf,0.0,0.015,4.0,0.4,0.5,,0.7341722727872312,0.0037249920426960514,0.86265664160401,True
1,svm_rbf,0.0,0.015,4.0,0.6,0.5,,0.7389556598262574,0.00395942687610229,0.8591478696741854,True
1,svm_rbf,0.0,0.03,0.0,0.0,0.5,,0.9094194131946407,2.7685634533813896e-06,1.0,True
1,svm_rbf,0.0,0.03,0.0,0.2,0.5,,0.7128119170105716,0.0011580324211297732,0.9714285714285714,True
1,svm_rbf,0.0,0.03,0.0,0.4,0.5,,0.7144394821640567,0.0013482862638634074,0.9481203007518797,True
1,svm_rbf,0.0,0.03,0.0,0.6,0.5,,0.7195330431341512,0.001633848237554858,0.9383458646616541,True
1,svm_rbf,0.0,0.03,1.0,0.0,0.5,,0.8581751370908475,0.003522155698475027,1.0,True
1,svm_rbf,0.0,0.03,1.0,0.2,0.5,,0.7358878399005032,0.003519337899301256,0.9854636591478697,True
1,svm_rbf,0.0,0.03,1.0,0.4,0.5,,0.7399438445738404,0.0035419794338571453,0.9674185463659147,True
1,svm_rbf,0.0,0.03,1.0,0.6,0.5,,0.7393875666610135,0.003503465682760165,0.9468671679197995,True
1,svm_rbf,0.0,0.03,2.0,0.0,0.5,,0.8873345016677031,0.0034933209285048505,0.9744360902255639,True
1,svm_rbf,0.0,0.03,2.0,0.2,0.5,,0.7551909849812501,0.003491926563289116,0.9588972431077695,True
1,svm_rbf,0.0,0.03,2.0,0.4,0.5,,0.7548940019220984,0.003410188664496827,0.9403508771929825,True
1,svm_rbf,0.0,0.03,2.0,0.6,0.5,,0.7616115476661578,0.00351196892140182,0.9333333333333333,True
1,svm_rbf,0.0,0.03,4.0,0.0,0.5,,0.918137825767426,0.003569985921227925,0.8481203007518797,True
