ID,replicate_idx
N1,1
N1,2
N1,3
N2,1
N2,2
N2,3
N3,1
N3,2
N3,3
N4,1
N4,2
N4,3
N5,1
N5,2
N5,3
N6,1
N6,2
N6,3
N7,1
N7,2
N7,3
N8,1
N8,2
N8,3
N9,1
N9,2
N9,3
N10,1
N10,2
N10,3
N11,1
N11,2
N11,3
N12,1
N12,2
N12,3
N13,1
N13,2
N13,3
N14,1
N14,2
N14,3
N15,1
N15,2
N15,3
N16,1
N16,2
N16,3
N17,1
N17,2
N17,3
N18,1
N18,2
N18,3
N19,1
N19,2
N19,3
N20,1
N20,2
N20,3
N21,1
N21,2
N21,3
N22,1
N22,2
N22,3
N23,1
N23,2
N23,3
N24,1
N24,2
N24,3
N25,1
N25,2
N25,3
N26,1
N26,2
N26,3
N27,1
N27,2
N27,3
N28,1
N28,2
N28,3
N29,1
N29,2
N29,3
N30,1
N30,2
N30,3
P1,1
P1,2
P1,3
P2,1
P2,2
P2,3
P3,1
P3,2
P3,3
P4,1
P4,2
P4,3
P5,1
P5,2
P5,3
P6,1
P6,2
P6,3
P7,1
P7,2
P7,3
P8,1
P8,2
P8,3
P9,1
P9,2
P9,3
P10,1
P10,2
P10,3
P11,1
P11,2
P11,3
P12,1
P12,2
P12,3
P13,1
P13,2
P13,3
P14,1
P14,2
P14,3
P15,1
P15,2
P15,3
P16,1
P16,2
P16,3
P17,1
P17,2
P17,3
P18,1
P18,2
P18,3
P19,1
P19,2
P19,3
P20,1
P20,2
P20,3
P21,1
P21,2
P21,3
P22,1
P22,2
P22,3
P23,1
P23,2
P23,3
P24,1
P24,2
P24,3
P25,1
P25,2
P25,3
P26,1
P26,2
P26,3
P27,1
P27,2
P27,3
P28,1
P28,2
P28,3
P29,1
P29,2
P29,3
P30,1
P30,2
P30,3
P31,1
P31,2
P31,3
