preproc,use_mixup,factor,pc,r2_baseline_mean,r2_aug_mean,delta_r2_mean,delta_r2_std,n,p_aug_frac_lt_0_05
amide3,0,Anamnes_factor,PC9,0.013401141968542602,0.19306030162512672,0.17965915965658402,0.03936111493134344,5,0.0
amide3,0,Age_factor,PC8,0.0782335283540937,0.20954292228004262,0.13130939392594895,0.056728224671900945,5,0.6
amide3,0,Age_factor,PC9,0.0101145309884224,0.1373705020209764,0.12725597103255396,0.06688657781584265,5,0.0
amide3,0,caries_factor,PC10,0.1151721827716224,0.2292825224055953,0.11411033963397285,0.03509188147436068,5,0.0
amide3,0,Gender,PC10,0.0099777944652943,0.1026613414545493,0.09268354698925492,0.025292409702839216,5,0.0
amide3,0,Parodont,PC9,0.0925399560759844,0.18181138659534646,0.08927143051936207,0.09981700586539088,5,0.0
amide3,0,Gender,PC9,0.1296390389091178,0.16142048638790524,0.03178144747878736,0.09149215801393425,5,0.2
amide3,0,Anamnes_factor,PC7,0.0620019380702964,0.08694307910013957,0.02494114102984312,0.017891818729961574,5,0.0
amide3,0,caries_factor,PC8,0.1471656639563689,0.16342213724515334,0.01625647328878438,0.022029084970279823,5,0.0
amide3,0,Parodont,PC6,0.0977127664540722,0.11210261318682369,0.014389846732751399,0.008884885547773955,5,0.0
amide3,0,Age_factor,PC6,0.1060490514328076,0.11880343137646106,0.01275437994365344,0.011202214448413022,5,0.0
amide3,0,Age_factor,PC5,0.0399078094111712,0.05179101093386081,0.01188320152268958,0.006288335536007343,5,0.0
paper_low,0,Anamnes_factor,PC9,0.0317758483668725,0.04043170925906982,0.00865586089219732,0.016135667240691327,5,0.0
paper_low,0,Age_factor,PC9,0.0234462656694155,0.03164285192646328,0.0081965862570477,0.008830814239321104,5,0.0
amide3,0,caries_factor,PC6,0.0307795727912972,0.038304731923798116,0.00752515913250084,0.005607570037981266,5,0.0
amide3,0,Anamnes_factor,PC6,0.0377869086186778,0.045057665213003216,0.0072707565943253795,0.00443600295464901,5,0.0
paper_low,0,Age_factor,PC10,0.067621195462335,0.072154849913689,0.00453365445135402,0.00666482168548831,5,0.0
amide3,0,Gender,PC4,0.0797137443817612,0.0841570464490872,0.00444330206732596,0.004709646091810637,5,0.0
amide3,0,caries_factor,PC4,0.2770196453668071,0.28127554520764025,0.00425589984083314,0.00482209155175793,5,0.0
paper_full,0,Anamnes_factor,PC10,0.02177309343739754,0.02590339816340046,0.0041303047260029205,0.006021564321339936,5,0.0
