preproc,use_mixup,factor,pc,r2_baseline_mean,r2_aug_mean,delta_r2_mean,delta_r2_std,n,p_aug_frac_lt_0_05
amide3,0,Age_factor,PC8,0.0782335283540937,0.20954292228004262,0.13130939392594895,0.056728224671900945,5,0.6
amide3,0,Anamnes_factor,PC9,0.013401141968542602,0.19306030162512672,0.17965915965658402,0.03936111493134344,5,0.0
amide3,0,Gender,PC10,0.0099777944652943,0.1026613414545493,0.09268354698925492,0.025292409702839216,5,0.0
amide3,0,Parodont,PC9,0.0925399560759844,0.18181138659534646,0.08927143051936207,0.09981700586539088,5,0.0
amide3,0,caries_factor,PC10,0.1151721827716224,0.2292825224055953,0.11411033963397285,0.03509188147436068,5,0.0
paper_full,0,Age_factor,PC6,0.29071865371669936,0.29322045494958215,0.0025018012328828,0.0029513703591227845,5,1.0
paper_full,0,Anamnes_factor,PC10,0.02177309343739754,0.02590339816340046,0.0041303047260029205,0.006021564321339936,5,0.0
paper_full,0,Gender,PC9,0.09855595209915208,0.09991663025993944,0.0013606781607873705,0.0042666084967741946,5,0.0
paper_full,0,Parodont,PC6,0.30941950501735355,0.31179161866093363,0.00237211364358008,0.003261976581339187,5,0.0
paper_full,0,caries_factor,PC8,0.15841398281554622,0.15991224891308928,0.0014982660975430399,0.0019041688457918774,5,0.0
paper_low,0,Age_factor,PC9,0.0234462656694155,0.03164285192646328,0.0081965862570477,0.008830814239321104,5,0.0
paper_low,0,Anamnes_factor,PC9,0.0317758483668725,0.04043170925906982,0.00865586089219732,0.016135667240691327,5,0.0
paper_low,0,Gender,PC4,0.0223581868010352,0.022510440074403122,0.00015225327336786004,0.0007995619732747579,5,0.0
paper_low,0,Parodont,PC9,0.0798636677518476,0.08357432222194365,0.00371065447009608,0.009506922026994772,5,0.0
paper_low,0,caries_factor,PC10,0.10247141815006051,0.10369635139318686,0.00122493324312634,0.0034487981258775864,5,0.0
